date,year,month,month_name,region_label,station_name,station_id,latitude,longitude,elevation_m,monthly_rainfall_mm
1885-11-01,1885,11,Nov,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,2.4
1885-12-01,1885,12,Dec,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,16.8
1886-01-01,1886,1,Jan,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,34.9
1886-02-01,1886,2,Feb,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,4.1
1886-03-01,1886,3,Mar,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,0.0
1886-04-01,1886,4,Apr,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,14.0
1886-05-01,1886,5,May,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,10.5
1886-06-01,1886,6,Jun,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,7.4
1886-07-01,1886,7,Jul,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,60.1
1886-08-01,1886,8,Aug,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,46.1
1886-09-01,1886,9,Sep,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,15.6
1886-10-01,1886,10,Oct,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,17.6
1886-11-01,1886,11,Nov,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,12.0
1886-12-01,1886,12,Dec,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,9.7
1887-01-01,1887,1,Jan,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,2.3
1887-02-01,1887,2,Feb,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,19.3
1887-03-01,1887,3,Mar,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,6.6
1887-04-01,1887,4,Apr,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,30.6
1887-05-01,1887,5,May,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,31.5
1887-06-01,1887,6,Jun,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,55.8
1887-07-01,1887,7,Jul,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,24.2
1887-08-01,1887,8,Aug,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,20.7
1887-09-01,1887,9,Sep,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,31.5
1887-10-01,1887,10,Oct,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,41.2
1887-11-01,1887,11,Nov,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,51.3
1887-12-01,1887,12,Dec,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,66.2
1888-01-01,1888,1,Jan,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,8.1
1888-02-01,1888,2,Feb,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,1.3
1888-03-01,1888,3,Mar,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,6.4
1888-04-01,1888,4,Apr,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,1.5
1888-05-01,1888,5,May,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,53.5
1888-06-01,1888,6,Jun,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,30.3
